iso3c,country,year,life_expectancy,co2_emissions,gdp_per_cap,region,income,longitude,latitude,label_first,label_second,label_third,label_fourth,label_last
BRN,Brunei Darussalam,2010,74.74,21.1068144275253,35269.5531076448,Z4,XD,114.946,4.94199,NA,NA,NA,NA,NA
BRN,Brunei Darussalam,1995,71.465,16.118735569512,37713.6899412144,Z4,XD,114.946,4.94199,"Brunei Darussalam: $37,714",NA,NA,NA,NA
BRN,Brunei Darussalam,2000,72.809,14.1434274308526,35931.5965013377,Z4,XD,114.946,4.94199,NA,"$35,932",NA,NA,NA
BRN,Brunei Darussalam,2015,75.318,NA,32869.2866185522,Z4,XD,114.946,4.94199,NA,NA,NA,"$32,869",NA
BRN,Brunei Darussalam,2018,75.722,NA,31436.8681969939,Z4,XD,114.946,4.94199,NA,NA,NA,NA,"$31,437"
IDN,Indonesia,1995,64.291,1.142214229256,2220.07694952065,Z4,XN,106.83,-6.19752,"Indonesia: $2,220",NA,NA,NA,NA
IDN,Indonesia,2000,65.772,1.24539824992904,2143.65950412517,Z4,XN,106.83,-6.19752,NA,"$2,144",NA,NA,NA
IDN,Indonesia,2010,69.205,1.77295139151422,3122.36281521649,Z4,XN,106.83,-6.19752,NA,NA,NA,NA,NA
IDN,Indonesia,2015,70.768,NA,3824.27488523624,Z4,XN,106.83,-6.19752,NA,NA,NA,"$3,824",NA
IDN,Indonesia,2018,71.509,NA,4284.65253543916,Z4,XN,106.83,-6.19752,NA,NA,NA,NA,"$4,285"
KHM,Cambodia,1995,55.189,0.145563148675439,341.891413632537,Z4,XN,104.874,11.5556,Cambodia: $342,NA,NA,NA,NA
KHM,Cambodia,2000,58.432,0.162605852505245,431.202289963378,Z4,XN,104.874,11.5556,NA,$431,NA,NA,NA
KHM,Cambodia,2010,66.56,0.350245580487489,785.502282874113,Z4,XN,104.874,11.5556,NA,NA,NA,NA,NA
KHM,Cambodia,2015,68.637,NA,1024.62136452219,Z4,XN,104.874,11.5556,NA,NA,NA,"$1,025",NA
KHM,Cambodia,2018,69.57,NA,1205.04094079918,Z4,XN,104.874,11.5556,NA,NA,NA,NA,"$1,205"
LAO,Lao PDR,2000,58.803,0.176334504198208,672.875388277317,Z4,XN,102.177,18.5826,NA,$673,NA,NA,NA
LAO,Lao PDR,1995,55.851,0.0718799591373786,547.974321398575,Z4,XN,102.177,18.5826,Lao PDR: $548,NA,NA,NA,NA
LAO,Lao PDR,2010,64.306,0.262298883130786,1140.59920478703,Z4,XN,102.177,18.5826,NA,NA,NA,NA,NA
LAO,Lao PDR,2015,66.546,NA,1538.85116913062,Z4,XN,102.177,18.5826,NA,NA,NA,"$1,539",NA
LAO,Lao PDR,2018,67.61,NA,1785.57679801882,Z4,XN,102.177,18.5826,NA,NA,NA,NA,"$1,786"
MMR,Myanmar,1995,58.46,0.158535595902454,242.343701319655,Z4,XN,95.9562,21.914,Myanmar: $242,NA,NA,NA,NA
MMR,Myanmar,2000,60.063,0.21592426287146,342.141262631952,Z4,XN,95.9562,21.914,NA,$342,NA,NA,NA
MMR,Myanmar,2015,65.81,NA,1335.20387198505,Z4,XN,95.9562,21.914,NA,NA,NA,"$1,335",NA
MMR,Myanmar,2018,66.867,NA,1571.90721650413,Z4,XN,95.9562,21.914,NA,NA,NA,NA,"$1,572"
MMR,Myanmar,2010,63.525,0.24733732565351,979.051630004942,Z4,XN,95.9562,21.914,NA,NA,NA,NA,NA
MYS,Malaysia,1995,71.834,5.91245287944073,6277.61096658541,Z4,XT,101.684,3.12433,"Malaysia: $6,278",NA,NA,NA,NA
MYS,Malaysia,2010,74.493,7.74517590466688,9040.56625117172,Z4,XT,101.684,3.12433,NA,NA,NA,NA,NA
MYS,Malaysia,2000,72.594,5.42091501357427,7007.04150381685,Z4,XT,101.684,3.12433,NA,"$7,007",NA,NA,NA
MYS,Malaysia,2018,75.997,NA,12120.0832647974,Z4,XT,101.684,3.12433,NA,NA,NA,NA,"$12,120"
MYS,Malaysia,2015,75.461,NA,10912.1513483495,Z4,XT,101.684,3.12433,NA,NA,NA,"$10,912",NA
PHL,Philippines,1995,68.231,0.869981305767011,1507.69888677137,Z4,XN,121.035,14.5515,"Philippines: $1,508",NA,NA,NA,NA
PHL,Philippines,2010,69.823,0.903181400916366,2124.05676974627,Z4,XN,121.035,14.5515,NA,NA,NA,NA,NA
PHL,Philippines,2000,68.793,0.939932650573128,1607.19778266555,Z4,XN,121.035,14.5515,NA,"$1,607",NA,NA,NA
PHL,Philippines,2015,70.644,NA,2605.49359885296,Z4,XN,121.035,14.5515,NA,NA,NA,"$2,605",NA
PHL,Philippines,2018,71.095,NA,3021.98686253681,Z4,XN,121.035,14.5515,NA,NA,NA,NA,"$3,022"
SGP,Singapore,1995,76.2951219512195,11.9659796294857,29473.4604698392,Z4,XD,103.85,1.28941,"Singapore: $29,473",NA,NA,NA,NA
SGP,Singapore,2010,81.5414634146342,10.9604087826578,47236.9602345421,Z4,XD,103.85,1.28941,NA,NA,NA,NA,NA
SGP,Singapore,2000,77.9512195121951,12.1666243367801,33850.7601751174,Z4,XD,103.85,1.28941,NA,"$33,851",NA,NA,NA
SGP,Singapore,2018,83.1463414634146,NA,58247.8726396071,Z4,XD,103.85,1.28941,NA,NA,NA,NA,"$58,248"
SGP,Singapore,2015,82.7439024390244,NA,53883.8182408117,Z4,XD,103.85,1.28941,NA,NA,NA,"$53,884",NA
THA,Thailand,1995,70.191,2.70995520998659,3531.74938521251,Z4,XT,100.521,13.7308,"Thailand: $3,532",NA,NA,NA,NA
THA,Thailand,2010,74.184,4.19564218352584,5076.34299245077,Z4,XT,100.521,13.7308,NA,NA,NA,NA,NA
THA,Thailand,2015,76.091,NA,5741.33966351835,Z4,XT,100.521,13.7308,NA,NA,NA,"$5,741",NA
THA,Thailand,2018,76.931,NA,6361.62499026563,Z4,XT,100.521,13.7308,NA,NA,NA,NA,"$6,362"
THA,Thailand,2000,70.623,2.87947900582155,3458.34940546633,Z4,XT,100.521,13.7308,NA,"$3,458",NA,NA,NA
VNM,Vietnam,1995,71.923,0.388334427684272,583.314084579776,Z4,XN,105.825,21.0069,Vietnam: $583,NA,NA,NA,NA
VNM,Vietnam,2010,74.837,1.62261892158516,1317.89070617836,Z4,XN,105.825,21.0069,NA,NA,NA,NA,NA
VNM,Vietnam,2000,73.025,0.671308552382385,765.185650932615,Z4,XN,105.825,21.0069,NA,$765,NA,NA,NA
VNM,Vietnam,2015,75.11,NA,1667.1718910463,Z4,XN,105.825,21.0069,NA,NA,NA,"$1,667",NA
VNM,Vietnam,2018,75.317,NA,1964.4759908863,Z4,XN,105.825,21.0069,NA,NA,NA,NA,"$1,964"
